Group,Mean,Median,Count,STD,SE,Lower,Upper
Grok-STR,0.6019119955461505,0.5882582664489746,811,0.08809315332713154,0.0030933689995051136,0.5917317181687791,0.6120922729235219
GPT5-STR,0.6511460415285486,0.6307003796100616,772,0.09340800333642967,0.0033618276023774343,0.6400822668891245,0.6622098161679727
GPT4o-STR,0.6804594887390678,0.6810866594314575,811,0.10949171455355212,0.0038447741136575526,0.6678063371310208,0.6931126403471148
Sonnet-STR,0.6955681947391806,0.7001675367355347,811,0.08283805978372674,0.002908837706859681,0.6859952098459055,0.7051411796324558
Gemini-STR,0.717671780196237,0.7383823692798615,810,0.09560589251836,0.0033592486454585447,0.706616492904033,0.7287270674884411
