Group,Mean,Median,Count,STD,SE,Lower,Upper
Grok-NSTR,0.5064040023614379,0.5086185932159424,816,0.062320467122861975,0.0021816527234866496,0.4992241832484433,0.5135838214744325
GPT5-NSTR,0.5590311496281156,0.562466561794281,816,0.06077898819211797,0.002127690167319909,0.5520289212874658,0.5660333779687654
GPT4o-NSTR,0.559827896236789,0.5638071894645691,816,0.06097736164160717,0.0021346346270829006,0.5528028136790591,0.5668529787945188
Sonnet-NSTR,0.5652595958581158,0.5703405141830444,816,0.05879297679920129,0.0020581658623160604,0.5584861720052336,0.572033019710998
Gemini-NSTR,0.5960299706853488,0.5988302528858185,816,0.06965726205818633,0.0024384919191999563,0.5880048937792618,0.6040550475914358
